sample_id	gene_symbol	gene_name	element_type	subtype	drug_class	subclass	method	pct_identity	pct_coverage	contig
EC_PE_M09449	ftsI_I336IKYRI	Escherichia aztreonam/cefiderocol/cephalosporin resistant FtsI	AMR	POINT	BETA-LACTAM	AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN	POINTX	99.83	100.00	contig_1
EC_PE_M09449	fdeC	inverse autotransporter adhesin FdeC	VIRULENCE	VIRULENCE	NA	NA	BLASTX	94.21	100.00	contig_1
EC_PE_M09449	ariR	biofilm/acid-resistance regulator AriR	STRESS	ACID	NA	NA	EXACTX	100.00	100.00	contig_1
EC_PE_M09449	emrE	multidrug efflux SMR transporter EmrE	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	98.18	100.00	contig_1
EC_PE_M09449	gyrA_D87N	Escherichia quinolone resistant GyrA	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	98.97	99.66	contig_1
EC_PE_M09449	gyrA_S83L	Escherichia quinolone resistant GyrA	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	98.97	99.66	contig_1
EC_PE_M09449	parC_S80I	Escherichia quinolone resistant ParC	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	99.87	100.00	contig_1
EC_PE_M09449	parE_S458A	Escherichia quinolone resistant ParE	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	99.68	100.00	contig_1
EC_PE_M09449	acrF	multidrug efflux RND transporter permease subunit AcrF	AMR	AMR	EFFLUX	EFFLUX	BLASTX	99.61	100.00	contig_1
EC_PE_M09449	blaOXA-48	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	100.00	100.00	contig_1
EC_PE_M09449	pcoE	copper resistance system metallochaperone PcoE	STRESS	METAL	COPPER	COPPER	BLASTX	92.36	100.00	contig_1
EC_PE_M09449	pcoS	copper resistance membrane spanning protein PcoS	STRESS	METAL	COPPER	COPPER	BLASTX	99.57	100.00	contig_1
